"","Image","Theme","Category","Source","Valence_mean","Valence_SD","Valence_N","Arousal_mean","Arousal_SD","Arousal_N","Valence_mean_men","Valence_SD_men","Valence_N_men","Valence_mean_women","Valence_SD_women","Valence_N_women","Arousal_mean_men","Arousal_SD_men","Arousal_N_men","Arousal_mean_women","Arousal_SD_women","Arousal_N_women","Valence_gender_difference"
"1","I4","Alcohol_1","Object","Pixabay",4.68518518518519,1.18911062459953,108,2.86538461538462,1.69555496718665,104,4.701754386,1.362310436,57,4.666666667,0.972967968,51,2.653061224,1.714533712,49,3.054545455,1.671306672,55,0.0350877189999999
"2","I16","Angry_face_2","Person","Wikipedia",3.07843137254902,1.04062314261533,102,3.53465346534653,1.68264289993833,101,3.155555556,0.952402597,45,3.053571429,1.085769821,56,3.836734694,1.585703561,49,3.25,1.73629084,52,0.101984127
"3","I18","Angry_face_4","Person","Flickr/Jan Tik",2.49019607843137,1.14100093316764,102,3.87128712871287,1.85829688874859,101,2.511111111,1.198905225,45,2.5,1.095445115,56,3.795918367,1.978842168,49,3.942307692,1.753578543,52,0.011111111
"4","I23","Animal_carcass_2","Animal","Wikipedia",3.25490196078431,1.39792119007456,102,4.02970297029703,1.68793036316404,101,3.477272727,1.190830009,44,3.086206897,1.525047975,58,3.893617021,1.618292747,47,4.230769231,1.722007317,52,0.39106583
"5","I25","Animal_carcass_4","Animal","Wikipedia",3.79411764705882,1.3667786460178,102,4.1980198019802,1.61876373804331,101,3.911111111,1.258105036,45,3.732142857,1.44588534,56,4.163265306,1.559205711,49,4.230769231,1.687501746,52,0.178968254
"6","I38","Baby_7","Person","Pixabay",2.97058823529412,1.30843328846192,102,4.24752475247525,1.66976609496096,101,2.911111111,1.083391607,45,3.053571429,1.457515231,56,4.020408163,1.701589893,49,4.461538462,1.626514841,52,0.142460318
"7","I41","Baby_10","Person","Pixabay",5.42156862745098,1.33821422688067,102,3.89108910891089,1.70235713115086,101,5.266666667,1.467836999,45,5.517857143,1.220894924,56,3.591836735,1.801832023,49,4.173076923,1.56832812,52,0.251190476
"8","I56","BDSM_1","Person","Wikipedia",4.33333333333333,1.48479643791538,102,4.55445544554455,1.71741228320257,101,4.711111111,1.408129356,45,4.053571429,1.494470327,56,5.040816327,1.499432999,49,4.096153846,1.796069951,52,0.657539682
"9","I67","Bear_1","Animal","Wikipedia",5.14814814814815,1.14234399793701,108,3.33653846153846,1.61070796062746,104,5.052631579,1.092524152,57,5.254901961,1.197382767,51,3.12244898,1.408791637,49,3.527272727,1.762306417,55,0.202270382
"10","I78","Bird_5","Animal","Pixabay",4.47058823529412,1.37665027773467,102,4.44554455445545,1.54580236462979,101,4.409090909,1.206921547,44,4.517241379,1.501360544,58,4.170212766,1.50822598,47,4.673076923,1.580781066,52,0.10815047
"11","I99","Building_1","Scene","Pixabay",5.03703703703704,1.48466255913702,108,3.20192307692308,1.74811858750119,104,4.912280702,1.672046455,57,5.176470588,1.244281035,51,3.163265306,1.748176893,49,3.236363636,1.763452384,55,0.264189886
"12","I137","Cat_8","Animal","Flickr/Markus Schoepke",4.76470588235294,1.3800306395525,102,3.63366336633663,1.50812978405194,101,4.488888889,1.140618298,45,4.982142857,1.531381687,56,3.530612245,1.555930065,49,3.730769231,1.470165852,52,0.493253968
"13","I155","Child_labor_3","Person","Pixabay",4.08823529411765,1.17820925688072,102,3.5049504950495,1.58507894047103,101,4.088888889,1.378771229,45,4.071428571,1.006472559,56,3.408163265,1.731068641,49,3.596153846,1.445203227,52,0.0174603179999995
"14","I167","Cockroach_2","Animal","Pixabay",2.26470588235294,1.29680850123522,102,4.10891089108911,2.16749159213599,101,2.340909091,1.256484239,44,2.206896552,1.334542706,58,3.446808511,1.987006823,47,4.807692308,2.114733206,52,0.134012539
"15","I171","Cold_1","Object","Pixabay",3.99009900990099,1.05351838621782,101,3.47572815533981,1.66182429992083,103,4.172413793,0.957664026,58,3.744186047,1.135845044,43,3.510204082,1.647250853,49,3.41509434,1.691994297,53,0.428227746
"16","I217","Desert_1","Scene","Pixabay",4,1.39424719244647,108,3.26923076923077,1.79119079136838,104,4,1.463850109,57,4,1.326649916,51,3.102040816,1.828534226,49,3.418181818,1.760586067,55,0
"17","I224","Dessert_7","Object","Pixabay",5.4537037037037,1.12228288085449,108,3.13461538461538,1.78482107181695,104,5.298245614,1.133340705,57,5.62745098,1.094728904,51,3.224489796,1.80583898,49,3.054545455,1.778661397,55,0.329205366
"18","I242","Doctor_1","Person","Pixabay",4.66666666666667,1.11987740960395,102,3.14851485148515,1.6024115489715,101,4.704545455,0.878146713,44,4.637931034,1.280053122,58,3.063829787,1.420414136,47,3.230769231,1.744631931,52,0.0666144209999997
"19","I249","Doctor_8","Person","Pixabay",3.73267326732673,1.13040779463794,101,3.92233009708738,1.87705088040114,103,3.724137931,1.18162991,58,3.744186047,1.071114757,43,4,1.825741858,49,3.849056604,1.955231901,53,0.0200481159999999
"20","I250","Doctor_9","Person","Pixabay",3.67647058823529,1.1953852248376,102,4.10891089108911,1.49600127071477,101,3.704545455,0.904241824,44,3.655172414,1.383508433,58,3.978723404,1.436925487,47,4.307692308,1.502135232,52,0.049373041
"21","I267","Dog_17","Animal","Pixabay",5.22772277227723,1.23191873205023,101,3.84466019417476,1.60731954162517,103,5.172413793,1.171862081,58,5.302325581,1.318998244,43,3.795918367,1.580869906,49,3.867924528,1.652943015,53,0.129911788
"22","I279","Dog_29","Animal","Pixabay",5.36274509803922,1.03205280091991,102,4,1.70880074906351,101,5.068181818,0.949852553,44,5.586206897,1.043517714,58,3.659574468,1.550267799,47,4.25,1.813619499,52,0.518025079
"23","I298","Excited_face_7","Person","Pixabay",4.75247524752475,1.37408835665003,101,3.48543689320388,1.67369543970821,103,4.637931034,1.422849573,58,4.906976744,1.305919736,43,3.448979592,1.756668538,49,3.509433962,1.624602218,53,0.269045709999999
"24","I300","Exercise_2","Person","Pixabay",4.68518518518519,1.07345322885761,108,3.90384615384615,1.63409801591463,104,4.719298246,1.191553397,57,4.647058824,0.934313211,51,3.530612245,1.72121615,49,4.236363636,1.490260186,55,0.072239422
"25","I310","Feces_2","Object","Wikipedia",2.00980392156863,1.02922731797387,102,3.52475247524752,2.05715366176638,101,2.222222222,1.063632047,45,1.857142857,0.980325946,56,3.142857143,2.121320344,49,3.884615385,1.946881329,52,0.365079365
"26","I315","Fence_5","Object","Pixabay",3.77450980392157,1.04271981318752,102,2.06930693069307,1.43008689066486,101,3.888888889,0.831816802,45,3.678571429,1.192509087,56,2.06122449,1.375502382,49,2.076923077,1.493070975,52,0.21031746
"27","I372","Galaxy_2","Scene","Pixabay",5.77227722772277,1.02840836362616,101,4.4368932038835,1.91828100597763,103,5.689655172,1.012325732,58,5.88372093,1.051287246,43,4.632653061,1.833642522,49,4.283018868,2.003625162,53,0.194065758
"28","I383","Garbage_dump_5","Scene","Pixabay",2.13725490196078,1.00532459352294,102,3.32673267326733,1.6976979171283,101,2.377777778,1.093137455,45,1.964285714,0.8937009,56,3.040816327,1.731559794,49,3.596153846,1.636107473,52,0.413492064
"29","I388","Gargoyle_2","Object","Wikipedia",3.26851851851852,1.24259662917273,108,3.75961538461538,1.87727954535586,104,3.438596491,1.239492175,57,3.078431373,1.230335519,51,3.653061224,1.762467735,49,3.854545455,1.985299509,55,0.360165118
"30","I396","Goat_1","Animal","Flickr/Neil Piddock",5.33333333333333,1.22283568103149,108,3.30769230769231,1.76303425051357,104,5.280701754,1.250062655,57,5.392156863,1.201306478,51,3.387755102,1.81218476,49,3.236363636,1.731661976,55,0.111455109
"31","I399","Grass_1","Scene","Pixabay",4.96296296296296,1.09310435005573,108,2.23076923076923,1.46301171766816,104,5.052631579,1.092524152,57,4.862745098,1.095803045,51,2.244897959,1.422008735,49,2.218181818,1.511571528,55,0.189886480999999
"32","I421","Hallway_1","Scene","Wikipedia",2.61111111111111,1.12601632873847,108,3.375,1.94680470096241,104,2.842105263,1.17700397,57,2.352941176,1.016337137,51,3.244897959,1.920618523,49,3.490909091,1.98020507,55,0.489164087
"33","I441","Intensity_1","Person","Pixabay",2.81372549019608,1.14087331632319,102,4.14851485148515,1.83513562776086,101,2.909090909,0.960091609,44,2.74137931,1.264360942,58,4.063829787,1.810647918,47,4.307692308,1.842190315,52,0.167711599
"34","I445","Jail_4","Scene","Pixabay",2.11111111111111,1.04419475153236,108,3.43269230769231,1.78866128318351,104,2.333333333,1.13913083,57,1.862745098,0.872229507,51,2.897959184,1.623331168,49,3.909090909,1.808137237,55,0.470588235
"35","I453","Knife_1","Object","Pixabay",3.24509803921569,1.21407810039449,102,3.62376237623762,1.70793141049935,101,3.422222222,1.389716925,45,3.125,1.045553355,56,3.673469388,1.700340102,49,3.576923077,1.730308301,52,0.297222222
"36","I465","Lake_11","Scene","Flickr/James Wheeler",5.7156862745098,1.04717867994461,102,3.98019801980198,1.79432548897797,101,5.454545455,0.975384133,44,5.913793103,1.064325546,58,4.127659574,1.623429291,47,3.769230769,1.916035374,52,0.459247648
"37","I471","Lake_17","Scene","Wikipedia",5.58823529411765,1.00840960144504,102,3.61386138613861,1.69688123939009,101,5.511111111,1.057918673,45,5.625,0.964129376,56,3.673469388,1.637932578,49,3.557692308,1.764724736,52,0.113888889
"38","I493","Miserable_face_2","Person","Pixabay",2.58823529411765,1.15486865376755,102,3.89108910891089,1.82702484985295,101,2.733333333,1.115999348,45,2.5,1.175507627,56,3.673469388,1.852787934,49,4.096153846,1.796069951,52,0.233333333
"39","I527","Nude_couple_1","Person","Wikipedia",5.42156862745098,1.2058953742591,102,4.99009900990099,1.33787181377702,101,5.288888889,1.290211791,45,5.535714286,1.143587429,56,5.040816327,1.413612153,49,4.942307692,1.274385073,52,0.246825397
"40","I528","Nude_couple_2","Person","Wikipedia",5.44117647058824,1.07697347671143,102,4.40594059405941,1.55034330276737,101,5.568181818,0.899553566,44,5.344827586,1.192840104,58,4.829787234,1.356452357,47,4.076923077,1.594674395,52,0.223354232
"41","I575","Nude_woman_12","Person","Pixabay",5.20792079207921,1.35142022837582,101,4.92233009708738,1.8078766680364,103,5.482758621,1.314445775,58,4.837209302,1.326115569,43,5.87755102,1.423502913,49,4.056603774,1.703109084,53,0.645549319000001
"42","I592","Orangutan_1","Animal","Pixabay",4.94117647058824,1.20085389925739,102,3.57425742574257,1.68134787984798,101,4.863636364,0.851562424,44,5,1.414213562,58,3.212765957,1.573367618,47,3.961538462,1.703071487,52,0.136363636
"43","I617","Performance_1","Scene","Pixabay",5.57425742574257,1.08946348863526,101,3.86407766990291,1.72096953801367,103,5.413793103,1.155224331,58,5.790697674,0.965059572,43,4,1.683250823,49,3.79245283,1.736026526,53,0.376904571
"44","I622","Picnic_3","Person","Pixabay",4.5462962962963,1.18703478253142,108,3.26923076923077,1.66768701651823,104,4.578947368,1.194442016,57,4.509803922,1.189496516,51,2.836734694,1.650087608,49,3.654545455,1.60113596,55,0.069143446
"45","I637","Plane_crash_2","Scene","Pixabay",2.81372549019608,1.19180694958806,102,3.87128712871287,1.68323121606411,101,3.066666667,1.321156518,45,2.642857143,1.034470816,56,3.857142857,1.755942292,49,3.884615385,1.628831485,52,0.423809524
"46","I646","Power_lines_1","Scene","Pixabay",3.97058823529412,1.11209268750532,102,2.67326732673267,1.40789851119382,101,3.8,1.198483891,45,4.107142857,1.038855514,56,2.714285714,1.369306394,49,2.634615385,1.455602377,52,0.307142857000001
"47","I688","Sad_face_1","Person","Pixabay",2.68627450980392,1.03388522408028,102,4.33663366336634,1.80153949566904,101,2.681818182,0.85651341,44,2.689655172,1.157839739,58,4.170212766,1.685218976,47,4.557692308,1.893367801,52,0.00783698999999993
"48","I694","Sad_face_7","Person","Pixabay",3.13861386138614,1.08655145271908,101,3.79611650485437,1.70558036411376,103,3.448275862,1.078862523,58,2.720930233,0.959304842,43,3.591836735,1.731068641,49,3.962264151,1.686624578,53,0.727345629
"49","I710","Scared_face_2","Person","Pixabay",3.77450980392157,1.01383364918499,102,3.1980198019802,1.61876373804331,101,3.755555556,1.208973185,45,3.803571429,0.840338522,56,3.244897959,1.57494196,49,3.153846154,1.673139768,52,0.0480158729999998
"50","I711","Scared_face_3","Person","Pixabay",3.0462962962963,1.29256868983048,108,4.11538461538461,1.73657229788467,104,3.192982456,1.394358487,57,2.882352941,1.160121697,51,4,1.707825128,49,4.218181818,1.771073216,55,0.310629515
"51","I738","Shot_1","Object","Pixabay",2.76470588235294,1.18719630270363,102,4.21782178217822,1.81991186817406,101,2.711111111,1.254486897,45,2.839285714,1.124548972,56,4.204081633,1.80253978,49,4.230769231,1.853617392,52,0.128174603
"52","I768","Snake_2","Animal","Wikipedia",3.07843137254902,1.43979010096875,102,4.25742574257426,1.9165253212339,101,3.2,1.56088553,45,2.982142857,1.355005152,56,4.142857143,1.892969449,49,4.365384615,1.950654452,52,0.217857143
"53","I769","Snake_3","Animal","Wikipedia",2.91176470588235,1.3795030040373,102,4.57425742574257,1.96135939926096,101,3.088888889,1.534781924,45,2.785714286,1.246293205,56,4.387755102,1.987631825,49,4.75,1.939021382,52,0.303174603
"54","I795","Statue_1","Object","Pixabay",5.33333333333333,1.1600837868548,108,2.80769230769231,1.63146799746007,104,5.157894737,1.17700397,57,5.529411765,1.119873942,51,2.775510204,1.661642086,49,2.836363636,1.618911801,55,0.371517028
"55","I816","Surgery_1","Person","Pixabay",2.91176470588235,1.14410188890996,102,4.38613861386139,1.8164266956291,101,3.159090909,0.887724602,44,2.724137931,1.281352129,58,4.127659574,1.764591605,47,4.730769231,1.77250664,52,0.434952978
"56","I819","Surgery_4","Person","Wikipedia",3.48514851485149,1.18839270770346,101,3.89320388349515,1.86249159155477,103,3.517241379,1.188266898,58,3.441860465,1.201235982,43,3.87755102,1.821545281,49,3.924528302,1.930016507,53,0.0753809140000001
"57","I821","Surprise_1","Person","Pixabay",4.68627450980392,1.11675264868892,102,4.06930693069307,1.5182715550426,101,4.613636364,0.993371265,44,4.74137931,1.207583419,58,4.212765957,1.413232038,47,3.980769231,1.626862548,52,0.127742946
"58","I827","Thunderstorm_3","Scene","Pixabay",3.96039603960396,1.32605272956401,101,4.67961165048544,1.74453540212708,103,4.120689655,1.257644501,58,3.744186047,1.398860476,43,4.918367347,1.565736444,49,4.452830189,1.89702234,53,0.376503608
"59","I829","Thunderstorm_5","Scene","Pixabay",4.75247524752475,1.28379079755277,101,4.52427184466019,1.80329034884533,103,4.706896552,1.169924584,58,4.813953488,1.435200566,43,4.612244898,1.765601013,49,4.433962264,1.865779214,53,0.107056936
"60","I832","Thunderstorm_8","Scene","Pixabay",4.37254901960784,1.3637569585992,102,4.74257425742574,1.84202858472139,101,4.613636364,1.297867824,44,4.189655172,1.394939432,58,4.723404255,1.702965797,47,4.769230769,1.986378956,52,0.423981192
"61","I848","Tornado_1","Scene","Pixabay",2.09803921568627,1.11257264906028,102,5.05940594059406,1.91740335964146,101,2.340909091,0.963114662,44,1.913793103,1.188903118,58,4.893617021,1.890871004,47,5.269230769,1.931324696,52,0.427115988
"62","I854","Traffic_1","Scene","Pixabay",4.62376237623762,1.13005738923751,101,4.23300970873786,1.70468721468333,103,4.706896552,1.043082824,58,4.511627907,1.241582957,43,4.081632653,1.681228899,49,4.396226415,1.735817505,53,0.195268645
"63","I873","Weapon_1","Object","Wikipedia",2.84259259259259,1.38187220311395,108,3.79807692307692,1.77567057040655,104,3.210526316,1.410886779,57,2.431372549,1.237010945,51,3.816326531,1.703837206,49,3.781818182,1.852834756,55,0.779153767
"64","I881","Wedding_8","Object","Pixabay",5.62745098039216,1.11623100476072,102,3.86138613861386,1.6126357491405,101,5.636363636,1.101603674,44,5.620689655,1.136747996,58,3.617021277,1.581869993,47,4.038461538,1.644498117,52,0.0156739809999999
